HMTL_DATE,INDEX,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND
1/3/2017,AAPL  Apple Inc.,AAPL,114.45,117.68,115.82,BULLISH
1/4/2017,AAPL  Apple Inc.,AAPL,115.05,117.68,116.15,BULLISH
1/5/2017,AAPL  Apple Inc.,AAPL,114.65,117.52,116.02,BULLISH
1/6/2017,AAPL  Apple Inc.,AAPL,115.0,117.69,116.61,BULLISH
1/9/2017,AAPL  Apple Inc.,AAPL,115.12,118.33,117.91,BULLISH
1/10/2017,AAPL  Apple Inc.,AAPL,115.4,119.32,118.99,BULLISH
1/11/2017,AAPL  Apple Inc.,AAPL,115.68,119.49,119.11,BULLISH
1/12/2017,AAPL  Apple Inc.,AAPL,115.88,120.4,119.75,BULLISH
1/13/2017,AAPL  Apple Inc.,AAPL,115.99,120.63,119.25,BULLISH
1/17/2017,AAPL  Apple Inc.,AAPL,115.34,120.85,119.04,BULLISH
1/18/2017,AAPL  Apple Inc.,AAPL,115.99,121.23,120,BULLISH
1/19/2017,AAPL  Apple Inc.,AAPL,116.51,121.02,119.99,BULLISH
1/20/2017,AAPL  Apple Inc.,AAPL,117.06,120.8,119.78,BULLISH
1/23/2017,AAPL  Apple Inc.,AAPL,117.26,120.58,120,BULLISH
1/24/2017,AAPL  Apple Inc.,AAPL,117.99,120.68,120.08,BULLISH
1/25/2017,AAPL  Apple Inc.,AAPL,118.9,120.68,119.97,BULLISH
1/26/2017,AAPL  Apple Inc.,AAPL,118.91,122.48,121.88,BULLISH
1/27/2017,AAPL  Apple Inc.,AAPL,118.5,122.37,121.94,BULLISH
1/30/2017,AAPL  Apple Inc.,AAPL,118.59,122.57,121.95,BULLISH
1/31/2017,AAPL  Apple Inc.,AAPL,118.62,122.7,121.63,BULLISH
2/1/2017,AAPL  Apple Inc.,AAPL,119.23,124.77,121.35,BULLISH
2/2/2017,AAPL  Apple Inc.,AAPL,121.98,129.45,128.75,BULLISH
2/3/2017,AAPL  Apple Inc.,AAPL,122.91,129.3,128.53,BULLISH
2/6/2017,AAPL  Apple Inc.,AAPL,123.8,130.95,129.08,BULLISH
2/7/2017,AAPL  Apple Inc.,AAPL,125.0,132.44,130.29,BULLISH
2/8/2017,AAPL  Apple Inc.,AAPL,126.02,134.1,131.53,BULLISH
2/9/2017,AAPL  Apple Inc.,AAPL,126.29,134.8,131.47,BULLISH
2/10/2017,AAPL  Apple Inc.,AAPL,127.81,135.97,132.42,BULLISH
